0.4074074030 0.5925925970
0.0001897112 0.0013015546 bạn
0.0013877580 0.0002981846 lực
0.0011295324 0.0000452223 Đông
0.0010812174 0.0000056528 Trương
0.0019091226 0.0008446209 bọn
0.0011734798 0.0001262456 tiểu
0.0010484615 0.0000051817 đao
0.0018332381 0.0007928036 đáp
0.0010561046 0.0000249665 Thiết
0.0013156950 0.0002901765 giết
0.0010222568 0.0000028264 chưởng
0.0003139106 0.0013246368 đấy
0.0011666557 0.0001808892 đạo
0.0000002730 0.0009859406 một
0.0022063823 0.0012228866 đều
0.0010539208 0.0000706599 Bình
0.0009862253 0.0000047107 Bạch
0.0018114009 0.0008328442 gia
0.0012793906 0.0022545206 cảm
0.0027225606 0.0017509513 nhiên
0.0035529225 0.0045231731 nàng
0.0013773853 0.0004154800 khí
0.0010446400 0.0000857340 Kim
0.0004119053 0.0013609089 yêu
0.0009676637 0.0000268507 chiêu
0.0033544764 0.0024137408 hỏi
0.0002830655 0.0012129943 Ông
0.0048929114 0.0058195460 vào
0.0009280836 0.0000061239 Đinh
0.0019301410 0.0028348736 giờ
0.0009005141 0.0000009421 Kiếm
0.0020270438 0.0029206075 nghĩ
0.0009239891 0.0000376853 Thiếu
0.0019882827 0.0011084177 tại
0.0009531965 0.0018230244 nhận
0.0029259201 0.0020651522 tới
0.0000035486 0.0008634635 Hinh
0.0004187295 0.0012751749 học
0.0021018364 0.0029516979 chuyện
0.0003256482 0.0011592928 cuộc
0.0000002730 0.0008333153 và
0.0028890697 0.0037087005 cái
0.0010473697 0.0002360039 liền
0.0008451020 0.0000343878 Thần
0.0009643881 0.0017674386 cửa
0.0008306348 0.0000277929 Thư
0.0009436427 0.0001450882 pháp
0.0014270650 0.0006307570 đánh
0.0012157895 0.0004220749 dùng
0.0007910548 0.0000004711 Huyết
0.0038075995 0.0030223577 sao
0.0015780151 0.0007937458 cao
0.0001231076 0.0009068015 cháu
0.0007834118 0.0000028264 Ngọc
0.0008202621 0.0016006813 tin
0.0002317479 0.0010014857 viên
0.0015354325 0.0023025693 Nhưng
0.0000109186 0.0007697214 Cậu
0.0063207954 0.0055651705 phải
0.0001561364 0.0009072726 hôn
0.0002554960 0.0010052543 Khi
0.0029150015 0.0036568833 trên
0.0010091545 0.0002689785 đột
0.0048276726 0.0040879084 tay
0.0007640312 0.0000259086 Thường
0.0007380994 0.0000014132 Yến
0.0000002730 0.0007362757 Langdon
0.0004542150 0.0011880278 gái
0.0008459209 0.0001281299 tuy
0.0012608289 0.0019714101 cách
0.0009065193 0.0001959633 độc
0.0007110758 0.0000047107 Độc
0.0025579622 0.0018550568 nghe
0.0014297947 0.0007301519 tức
0.0024886289 0.0017900498 vừa
0.0022669807 0.0015695910 nhất
0.0008191703 0.0001229482 Lục
0.0012971333 0.0006095591 càng
0.0006955168 0.0000117766 Cao
0.0071975614 0.0078752769 như
0.0016285138 0.0009529660 đối
0.0000756115 0.0007485234 trai
0.0008552018 0.0001832446 mạng
0.0004692282 0.0011404501 tối
0.0012979522 0.0006293438 thương
0.0018460675 0.0011814329 động
0.0066641863 0.0073278985 được
0.0007356428 0.0000730152 Bất
0.0000889868 0.0007513498 Mình
0.0000095538 0.0006717397 Vận
0.0000188346 0.0006750372 máy
0.0008371860 0.0001823024 Tam
0.0006515693 0.0000004711 Vạn
0.0008082516 0.0001625177 thốt
0.0007446506 0.0001045766 môn
0.0047468747 0.0053852234 thể
0.0006330076 0.0012671668 thích
0.0000297533 0.0006637316 Cẩm
0.0007105299 0.0000777258 Nhân
0.0028983505 0.0022658262 vậy
0.0036473686 0.0042791611 thế
0.0007288186 0.0000979817 hữu
0.0011996846 0.0005704606 Chàng
0.0008205351 0.0001945501 phương
0.0006469289 0.0000230822 nhi
0.0011076951 0.0004842556 lạnh
0.0000038215 0.0006269885 tàu
0.0009395482 0.0003170272 dám
0.0006914223 0.0000725441 bang
0.0005685877 0.0011852014 trả
0.0006463829 0.0000315614 lâm
0.0008358212 0.0002242273 chợt
0.0002811547 0.0008903142 ngủ
0.0007673068 0.0001582781 vốn
0.0001970813 0.0008045803 đứa
0.0011740258 0.0005671631 kinh
0.0006316428 0.0012323079 sáng
0.0005988869 0.0000018843 trượng
0.0008014275 0.0013962388 bắt
0.0005915168 0.0000032975 Phá
0.0017101306 0.0011230207 bất
0.0005923357 0.0000065949 muội
0.0011079681 0.0005252383 Người
0.0003087243 0.0008832482 hàng
0.0035862243 0.0030138785 mặt
0.0001525879 0.0007226148 điện
0.0005707714 0.0000023553 Lâm
0.0005969761 0.0000287350 Đường
0.0021935529 0.0016270610 mới
0.0011063303 0.0005403124 thanh
0.0003518529 0.0009138675 Chúng
0.0010902253 0.0005304200 quả
0.0000128294 0.0005723449 Huy
0.0000002730 0.0005596261 Clay
0.0008251755 0.0002661521 sắc
0.0019093956 0.0024679134 qua
0.0000515905 0.0006086169 bác
0.0009581099 0.0004093561 Hồng
0.0020554323 0.0026035803 sau
0.0028533112 0.0023077510 lúc
0.0005625825 0.0000207269 Lôi
0.0002595904 0.0007998696 Con
0.0002664146 0.0008059935 cuối
0.0008909603 0.0003523572 rượu
0.0005505720 0.0000141320 Linh
0.0016506240 0.0011145415 lòng
0.0000963569 0.0006307570 ngài
0.0000002730 0.0005327753 có
0.0000002730 0.0005299489 của
0.0006671283 0.0001389644 song
0.0005917898 0.0000640649 quát
0.0011803040 0.0006561946 thần
0.0000002730 0.0005219408 Jordan
0.0003226455 0.0008413234 màu
0.0005462045 0.0000292061 Nguyên
0.0006054381 0.0000895025 mau
0.0005178161 0.0000018843 Hồn
0.0006018895 0.0000866761 phái
0.0005382885 0.0000259086 Nhất
0.0003150025 0.0008234229 cha
0.0006409236 0.0011470451 mọi
0.0009242621 0.0004197196 lập
0.0004280103 0.0009312969 đàn
0.0006660365 0.0011687141 tất
0.0031964292 0.0026968513 mắt
0.0005145405 0.0000179005 Tinh
0.0019978365 0.0024933509 hơn
0.0017396109 0.0022342648 lời
0.0004943410 0.0000004711 Phụng
0.0000002730 0.0004903794 Ben
0.0004935221 0.0000037685 Tích
0.0007116218 0.0002237562 bốn
0.0000002730 0.0004875530 là
0.0007984249 0.0003118455 gật
0.0009594747 0.0014424033 trở
0.0001433070 0.0006232200 ảnh
0.0011756636 0.0016515564 bao
0.0019350543 0.0014593616 định
0.0000423097 0.0005172302 buổi
0.0005773226 0.0010504766 gần
0.0000002730 0.0004705947 Peter
0.0002844303 0.0007532341 cầu
0.0004820576 0.0000155452 giang
0.0005344670 0.0000683045 tướng
0.0005388344 0.0000739573 luyện
0.0005044407 0.0000405117 địch
0.0010198001 0.0014829149 ngay
0.0005576691 0.0000946842 Nam
0.0000098268 0.0004691815 Chị
0.0009005141 0.0013571404 thôi
0.0002178267 0.0006736240 xảy
0.0016137736 0.0011588217 chân
0.0005104460 0.0000569990 Tình
0.0000270236 0.0004786028 thoại
0.0008314537 0.0012827120 ngồi
0.0004815116 0.0000306193 Thông
0.0007563881 0.0003066638 mười
0.0020565241 0.0016077473 chưa
0.0001656902 0.0006114433 Mẫn
0.0009813119 0.0005374860 phụ
0.0009589288 0.0005167591 xuất
0.0010591072 0.0015008154 nhau
0.0007864144 0.0003462333 hồi
0.0002246508 0.0006646737 trẻ
0.0004514854 0.0000117766 Sơn
0.0008775850 0.0004395043 Chỉ
0.0004700471 0.0000329746 Chân
0.0004432964 0.0000080081 Thương
0.0004419316 0.0000075371 Lãnh
0.0004711389 0.0000372142 Mạnh
0.0000002730 0.0004338515 lại
0.0000002730 0.0004329094 Lisette
0.0004446612 0.0000131898 Đoạn
0.0006496585 0.0002228141 quái
0.0009564721 0.0005299489 biến
0.0004809657 0.0000551147 Tùng
0.0001419422 0.0005676342 bệnh
0.0010866767 0.0015121210 ngày
0.0000453123 0.0004701236 thang
0.0000232021 0.0004479835 phố
0.0007228134 0.0002986557 uống
0.0000035486 0.0004272566 Sam
0.0006177215 0.0001940791 thiên
0.0004927032 0.0000692467 Chu
0.0004250077 0.0000028264 Huyền
0.0010312647 0.0014504114 phía
0.0008262674 0.0012440846 bàn
0.0056419295 0.0052274164 này
0.0005371966 0.0009515528 gọi
0.0005096271 0.0009209335 nhớ
0.0007730391 0.0003617785 thiếu
0.0005595798 0.0001488568 trầm
0.0005210917 0.0009312969 thực
0.0004187295 0.0000094213 Động
0.0014003144 0.0009925355 lớn
0.0000002730 0.0004079429 Mathias
0.0010580153 0.0006528971 phát
0.0022667078 0.0018644782 nên
0.0008710338 0.0004691815 miệng
0.0014953065 0.0010961700 tiếp
0.0003865195 0.0007843244 đặt
0.0001293858 0.0005266515 chơi
0.0000002730 0.0003966373 người
0.0003772387 0.0007701925 vui
0.0005369237 0.0001441461 cung
0.0008303619 0.0004399754 Tại
0.0012815743 0.0008912564 toàn
0.0000002730 0.0003886292 Oliver
0.0002620471 0.0006486575 trông
0.0010940468 0.0014800885 khỏi
0.0003887033 0.0000047107 hán
0.0007350968 0.0003523572 Lúc
0.0003971652 0.0000150741 Đài
0.0004927032 0.0001111715 thượng
0.0003780576 0.0000004711 Cừu
0.0001190131 0.0004965033 lỗi
0.0012750231 0.0008983223 tên
0.0004069920 0.0000315614 Phi
0.0008071598 0.0004324383 phục
0.0003947085 0.0000202558 Tôn
0.0004200943 0.0000456934 vung
0.0010894064 0.0014631302 quay
0.0000002730 0.0003721419 Greg
0.0002544041 0.0006251042 chú
0.0005011652 0.0001309563 vận
0.0003720523 0.0000018843 Ngũ
0.0039328908 0.0043022433 nhìn
0.0003758739 0.0000065949 Quỷ
0.0014467186 0.0018150163 khác
0.0008560207 0.0012242998 hình
0.0010135219 0.0006453600 thở
0.0000805249 0.0004470414 phút
0.0011420888 0.0015078814 lần
0.0012368079 0.0016025656 nhiều
0.0007984249 0.0004329094 Hai
0.0003210077 0.0006858717 tượng
0.0005410182 0.0001761786 phong
0.0000002730 0.0003646049 mình
0.0003674119 0.0000032975 huyệt
0.0000002730 0.0003641338 Casey
0.0008123461 0.0004489256 vội
0.0003682308 0.0000061239 Thích
0.0049502342 0.0053112661 thấy
0.0006403777 0.0002798130 mũi
0.0003079054 0.0006684423 Những
0.0003638634 0.0000037685 Xuyên
0.0003966193 0.0007555894 thức
0.0000002730 0.0003584810 được
0.0009130705 0.0005553865 ngờ
0.0003603148 0.0000028264 Thủy
0.0004067190 0.0000527594 Giang
0.0000076430 0.0003608363 Chúa
0.0003466665 0.0006995326 báo
0.0004517583 0.0000993949 chớp
0.0003417531 0.0006929377 quanh
0.0003679579 0.0007188463 vài
0.0006321887 0.0002816973 lắc
0.0006149919 0.0002647389 thất
0.0025088284 0.0028588979 đây
0.0000002730 0.0003500018 Antoine
0.0000908976 0.0004404465 khu
0.0005423830 0.0001931369 thi
0.0003758739 0.0007221438 mặc
0.0003311075 0.0006764504 giúp
0.0003963463 0.0000527594 Thái
0.0003436639 0.0000004711 Ưng
0.0006302780 0.0009713375 đôi
0.0000611443 0.0004013480 Tranh
0.0000597795 0.0003980505 Trình
0.0004154539 0.0000781969 đâm
0.0000002730 0.0003372831 đó
0.0003493962 0.0000127188 tam
0.0003695957 0.0000329746 Gia
0.0002344776 0.0005704606 tục
0.0005830549 0.0002482516 danh
0.0003676849 0.0007018879 đẹp
0.0011147922 0.0007814980 mấy
0.0000002730 0.0003335145 Damian
0.0000726089 0.0004041744 gắng
0.0003821521 0.0007131935 cảnh
0.0001413963 0.0004720079 ghế
0.0003300156 0.0000004711 Tiếu
0.0003480314 0.0000188426 vạn
0.0004004408 0.0000720731 trúng
0.0004378371 0.0001097583 quang
0.0005770496 0.0002501359 sai
0.0003346560 0.0000103634 Phục
0.0004629499 0.0007871508 trường
0.0004894276 0.0001653441 Bọn
0.0003433909 0.0000193137 Quan
0.0019274113 0.0016039788 thành
0.0003444828 0.0000226112 Mục
0.0007154433 0.0003942820 kêu
0.0005066245 0.0001865420 núi
0.0005235483 0.0002035004 thuyền
0.0000223832 0.0003410516 tước
0.0004361993 0.0001201218 Bởi
0.0002492177 0.0005648078 sắp
0.0009297214 0.0006142697 đất
0.0000464042 0.0003613074 Chương
0.0003371127 0.0000226112 nhị
0.0011167030 0.0014306266 đường
0.0049917250 0.0053051422 lên
0.0004542150 0.0001408487 phi
0.0001968083 0.0005092221 biển
0.0003941626 0.0000829076 Tiêu
0.0008317267 0.0005205276 Hắn
0.0003163673 0.0000051817 Khiết
0.0004361993 0.0001267167 bảy
0.0004288292 0.0001215350 tôn
0.0001643254 0.0004715368 mái
0.0005380155 0.0002308222 chừng
0.0003155484 0.0000089502 Đào
0.0003302886 0.0006359387 lặng
0.0007277267 0.0004230170 tuyệt
0.0000008189 0.0003052506 Sảnh
0.0003403883 0.0000376853 Đang
0.0003324723 0.0006349966 thay
0.0001250183 0.0004272566 đọc
0.0010623828 0.0013642064 đưa
0.0003398424 0.0000386274 chén
0.0000002730 0.0003014821 Edward
0.0002246508 0.0005257094 giới
0.0000002730 0.0002995978 Vasili
0.0004697741 0.0001719390 tiêu
0.0023988232 0.0026963802 nữa
0.0000002730 0.0002977135 vào
0.0003504880 0.0000532304 vương
0.0003204618 0.0000244954 Liên
0.0003556744 0.0006514839 sang
0.0003668660 0.0006613763 đợi
0.0001932598 0.0004875530 tranh
0.0001392125 0.0004319673 cơn
0.0003472125 0.0006387651 kết
0.0001206509 0.0004121825 sách
0.0002800629 0.0005714027 tóc
0.0000813438 0.0003711998 diễn
0.0002085458 0.0004983875 tháng
0.0000002730 0.0002892344 Sir
0.0000562309 0.0003448201 nhé
0.0000002730 0.0002887633 súng
0.0003881573 0.0000998659 tám
0.0000584147 0.0003462333 trình
0.0005803252 0.0002930029 máu
0.0003807872 0.0000937421 Hồi
0.0004203673 0.0001342537 bèn
0.0000311181 0.0003165562 lái
0.0003518529 0.0000668913 sơn
0.0004569447 0.0007409864 mạnh
0.0014939417 0.0017778021 Không
0.0002830655 0.0000004711 Mộc
0.0008090705 0.0010909882 nơi
0.0000655118 0.0003471754 cưới
0.0011666557 0.0008851325 Nếu
0.0003049028 0.0000235533 Tiên
0.0004285563 0.0007094250 đau
0.0004102676 0.0001300141 đương
0.0004749604 0.0007551184 vọng
0.0003193700 0.0005987245 trí
0.0002811547 0.0000018843 Sát
0.0005634014 0.0002845237 mươi
0.0007312753 0.0010085517 mất
0.0002773332 0.0000004711 Bốc
0.0001711495 0.0004479835 buồn
0.0001419422 0.0004183064 năng
0.0000002730 0.0002765156 để
0.0004675904 0.0007438128 Thế
0.0004386560 0.0007141356 cánh
0.0000002730 0.0002741603 nói
0.0003720523 0.0000993949 binh
0.0000002730 0.0002727471 phải
0.0002718739 0.0000014132 kình
0.0000114646 0.0002816973 Tim
0.0024763455 0.0027463132 trước
0.0004708660 0.0007405153 nằm
0.0000002730 0.0002699207 với
0.0005232754 0.0002539044 tránh
0.0002707820 0.0000014132 Nhan
0.0003930707 0.0001243614 quỷ
0.0003802413 0.0001121136 Hải
0.0015763773 0.0018442223 bên
0.0001083674 0.0003754394 nhắc
0.0001110971 0.0003777947 khuôn
0.0002732387 0.0005398413 nỗi
0.0010200731 0.0012864805 tìm
0.0002765143 0.0000108345 chém
0.0004987085 0.0002331775 hại
0.0008055220 0.0010693192 Một
0.0015526293 0.0018154873 theo
0.0001719684 0.0004347937 đình
0.0000496798 0.0003118455 sân
0.0000002730 0.0002623836 gì
0.0000002730 0.0002614415 Mark
0.0001140997 0.0003744973 viết
0.0000963569 0.0003561257 lớp
0.0002849763 0.0000259086 bổn
0.0012106032 0.0009520238 kia
0.0002680524 0.0000098924 Hắc
0.0004512124 0.0001940791 tung
0.0002762414 0.0005327753 dẫn
0.0005317373 0.0007880930 hôm
0.0003646823 0.0001083451 phó
0.0005161783 0.0002600283 thị
0.0039741087 0.0042301703 rồi
0.0002625931 0.0005181723 căn
0.0003805143 0.0001253035 hận
0.0002565878 0.0000014132 Dược
0.0000002730 0.0002548466 Jacob
0.0000002730 0.0002548466 Luke
0.0000002730 0.0002543755 thể
0.0003483043 0.0000942131 Trung
0.0000794330 0.0003335145 tuần
0.0000002730 0.0002539044 Loor
0.0000111916 0.0002647389 Tin
0.0007591178 0.0010113781 chắc
0.0003925248 0.0006439469 vai
0.0000461312 0.0002963003 dành
0.0006466559 0.0003975795 thầm
0.0002699631 0.0000216690 Khách
0.0001220157 0.0003702577 duy
0.0000903517 0.0003382252 cuốn
0.0000262047 0.0002718049 tháp
0.0000409449 0.0002854658 chào
0.0002470340 0.0000028264 tịnh
0.0002595904 0.0000155452 Hiệp
0.0001823411 0.0004258434 giường
0.0003032650 0.0000602964 xông
0.0002429395 0.0000004711 Trác
0.0000002730 0.0002425989 này
0.0002699631 0.0000282639 bạch
0.0001266561 0.0003679023 rối
0.0007847766 0.0010259812 đúng
0.0002475800 0.0000065949 Quần
0.0004935221 0.0002543755 quân
0.0004184565 0.0001804182 chi
0.0005609447 0.0003231511 vang
0.0002380262 0.0000004711 Hữu
0.0005295536 0.0007654818 tưởng
0.0004151809 0.0001794760 niên
0.0000237480 0.0002586151 kiểu
0.0002350235 0.0000004711 Cửu
0.0000281155 0.0002619125 Uyên
0.0002557689 0.0000221401 Châu
0.0000002730 0.0002327065 biết
0.0002347506 0.0000023553 Cung
0.0002582256 0.0000259086 Nhi
0.0002456692 0.0000141320 Tức
0.0001929868 0.0004239592 băng
0.0000002730 0.0002303511 Solomon
0.0009147083 0.0011442187 sống
0.0001181942 0.0003476465 túi
0.0000002730 0.0002294090 nó
0.0002295642 0.0000004711 Tẩu
0.0000799790 0.0003090191 giây
0.0002309290 0.0004597602 chắn
0.0002857952 0.0000569990 Ngân
0.0002508555 0.0000221401 Hoàn
0.0007460155 0.0009741639 chạy
0.0002298372 0.0000018843 Siêu
0.0001042729 0.0003321013 ngôi
0.0006199053 0.0003923978 trái
0.0002877059 0.0000607675 Thánh
0.0000469501 0.0002732181 thưa
0.0001337532 0.0003598942 thằng
0.0002148241 0.0004404465 chứng
0.0011554641 0.0009298838 sinh
0.0002292912 0.0000037685 Nhẫn
0.0006027084 0.0008281336 hành
0.0002271075 0.0000018843 Hàn
0.0003278319 0.0001026923 Tâm
0.0003294697 0.0001045766 hùng
0.0000262047 0.0002510780 Cháu
0.0004700471 0.0002454252 ngọn
0.0002249238 0.0000014132 Lai
0.0000002730 0.0002237562 thấy
0.0000630551 0.0002859369 nhỉ
0.0002232860 0.0000004711 Oanh
0.0010733014 0.0012959018 thứ
0.0002219212 0.0000009421 Đao
0.0004149080 0.0001940791 bạc
0.0001553175 0.0003754394 trò
0.0006291861 0.0004098272 xong
0.0002385721 0.0004578759 tập
0.0002213752 0.0000028264 Khẩn
0.0006040732 0.0008224808 hơi
0.0006526612 0.0008710005 khiến
0.0000657848 0.0002840526 giấc
0.0000002730 0.0002181034 Lynn
0.0000002730 0.0002181034 Sato
0.0001411233 0.0003580100 viện
0.0002549500 0.0000381563 huyết
0.0004094487 0.0001926659 chúa
0.0003627715 0.0001460304 kích
0.0003897951 0.0006057905 kéo
0.0008470128 0.0010617822 thời
0.0004973436 0.0007117803 mang
0.0002342046 0.0004479835 suy
0.0002645038 0.0000508751 đắc
0.0001815222 0.0003942820 suốt
0.0002156430 0.0000032975 Quyển
0.0000027297 0.0002148060 tụi
0.0002180997 0.0004300830 thú
0.0002298372 0.0000202558 Thủ
0.0004779631 0.0006872849 đêm
0.0002096377 0.0000004711 Hận
0.0000687874 0.0002774577 Chắc
0.0000472231 0.0002557887 thuyết
0.0001321154 0.0003405805 riêng
0.0002352965 0.0000268507 phất
0.0002077270 0.0000004711 Khang
0.0001018162 0.0003090191 Hãy
0.0002418477 0.0000348589 cường
0.0003930707 0.0001865420 rút
0.0020682616 0.0022747764 vẫn
0.0138723934 0.0136660879 một
0.0000177428 0.0002237562 tao
0.0038807544 0.0036747838 đầu
0.0000911706 0.0002967714 phép
0.0004599473 0.0002543755 lùng
0.0000780682 0.0002835816 thăm
0.0010959576 0.0008907853 dài
0.0000002730 0.0002053847 Press
0.0002055432 0.0000004711 Vãn
0.0006078948 0.0008121173 giải
0.0007105299 0.0005063957 vật
0.0001375747 0.0003415227 Tất
0.0003679579 0.0001644019 ngã
0.0013528184 0.0011498714 tâm
0.0005407452 0.0003382252 Cái
0.0001684199 0.0003707287 vấn
0.0013468131 0.0011451608 tình
0.0001091863 0.0003104323 nghỉ
0.0004973436 0.0002967714 nửa
0.0000958110 0.0002958293 giấy
0.0000002730 0.0001997319 Dana
0.0000002730 0.0001997319 Jamie
0.0002978057 0.0000984527 hóa
0.0005260050 0.0003269196 tài
0.0000002730 0.0001992608 Julia
0.0002279264 0.0004267856 quen
0.0003816061 0.0001827735 trăm
0.0005587609 0.0007570026 giữa
0.0004132702 0.0002152770 giao
0.0002524933 0.0004498678 lắng
0.0003988030 0.0002020872 lợi
0.0000622362 0.0002586151 hứa
0.0003586770 0.0005535022 dậy
0.0024272116 0.0022328516 xuống
0.0003554014 0.0001620466 hậu
0.0001954435 0.0000028264 Nhị
0.0001929868 0.0000004711 Khưu
0.0002423936 0.0000499330 Bằng
0.0000002730 0.0001921948 làm
0.0005988869 0.0004070008 hoa
0.0002748765 0.0000833786 hòa
0.0001940787 0.0000032975 Mệnh
0.0001837060 0.0003735551 khoảng
0.0003706875 0.0001808892 bối
0.0003799684 0.0001903106 phủ
0.0000002730 0.0001898395 rồi
0.0000002730 0.0001898395 tới
0.0001373018 0.0003264486 mua
0.0004310130 0.0006199225 thông
0.0001329343 0.0003207958 gây
0.0000002730 0.0001879552 Sandra
0.0002063621 0.0000188426 Hành
0.0000622362 0.0002496648 nghị
0.0002112755 0.0003980505 mong
0.0000210184 0.0002067979 khoa
0.0000824357 0.0002675653 lịch
0.0000002730 0.0001851288 Allie
0.0000002730 0.0001846578 Sakh
0.0002729658 0.0000890314 bại
0.0004553069 0.0002718049 thoát
0.0000002730 0.0001837156 Bahr
0.0002066351 0.0000235533 Trường
0.0000002730 0.0001832446 về
0.0003816061 0.0001992608 nam
0.0002110025 0.0000287350 nhịn
0.0003095432 0.0001276588 hiệp
0.0001867086 0.0000056528 Liễu
0.0001342992 0.0003151430 chăm
0.0001367559 0.0003174983 Xin
0.0002683254 0.0000876182 khinh
0.0004080838 0.0002275247 gió
0.0003829710 0.0005633946 đám
0.0003019001 0.0001215350 Câu
0.0000002730 0.0001804182 mà
0.0004787820 0.0002986557 rơi
0.0001629606 0.0003429359 chọn
0.0002009028 0.0000211980 Văn
0.0000002730 0.0001799471 vừa
0.0003425720 0.0001629887 thắng
0.0001023622 0.0002816973 Đừng
0.0006941520 0.0005153459 tính
0.0000002730 0.0001790050 John
0.0003704146 0.0001917238 buông
0.0002298372 0.0000513462 thâm
0.0000002730 0.0001785339 Mike
0.0000865301 0.0002647389 Đan
0.0006638528 0.0004856688 lưng
0.0000267506 0.0002049136 Bác
0.0002737847 0.0004517520 môi
0.0001793385 0.0000018843 Phượng
0.0002030865 0.0003801500 hoặc
0.0003103621 0.0001333116 tiện
0.0033405551 0.0035174478 nào
0.0001785196 0.0000018843 Khắc
0.0005953383 0.0004187774 bỗng
0.0003065406 0.0001300141 tiếc
0.0001790655 0.0000028264 Nương
0.0003346560 0.0001587492 thịt
0.0001763359 0.0000004711 Khương
0.0002090918 0.0000339167 vọt
0.0000660577 0.0002411857 căng
0.0004067190 0.0002327065 quyền
0.0003876114 0.0002143349 đem
0.0003046298 0.0004776606 Rồi
0.0000300262 0.0002030293 thầy
0.0000215643 0.0001945501 làng
0.0001883464 0.0003608363 Cát
0.0003870655 0.0002148060 giật
0.0000002730 0.0001724101 Mary
0.0011142463 0.0009426025 ngoài
0.0002159159 0.0000442802 Hiện
0.0002129133 0.0003843896 Thật
0.0005587609 0.0003876871 cầm
0.0002434855 0.0000725441 mẫu
0.0001110971 0.0002816973 chiều
0.0000002730 0.0001705258 điều
0.0000002730 0.0001700547 Leslie
0.0004372912 0.0002680364 phóng
0.0000180157 0.0001870131 vời
0.0000087349 0.0001775918 toà
0.0000002730 0.0001691126 akh
0.0000002730 0.0001691126 Mal
0.0007200837 0.0008889010 gian
0.0001733333 0.0000047107 Môn
0.0001807033 0.0000122477 Phật
0.0000002730 0.0001686415 Craig
0.0001686928 0.0000004711 khảy
0.0001777007 0.0000098924 Vật
0.0048429587 0.0046753274 biết
0.0002101836 0.0000428670 Xem
0.0001695117 0.0000023553 Bích
0.0001091863 0.0002760445 Điều
0.0000480420 0.0002148060 Cuối
0.0000002730 0.0001662862 đầu
0.0002328398 0.0000673624 hung
0.0001771548 0.0000117766 Xuân
0.0003848817 0.0002195166 khẽ
0.0001768818 0.0000117766 kiệu
0.0001730603 0.0000084792 Ngô
0.0001135538 0.0002779288 hạnh
0.0009690285 0.0011333841 câu
0.0002705091 0.0001064609 thiếp
0.0001667821 0.0000028264 Đạo
0.0003447558 0.0001813603 thù
0.0001635065 0.0000004711 Hách
0.0003311075 0.0001686415 lượng
0.0000944462 0.0002562598 trạng
0.0001807033 0.0000197848 hắc
0.0000002730 0.0001611045 Dieter
0.0001258372 0.0002864080 đóng
0.0003185511 0.0001582781 lui
